name,address,phone,website,latitude,longitude,url_status
My Local Bakery LLC,109 N Sterling St Morganton NC 28655,(828) 432-7343,https://www.mylocalbakery.com,35.74523,-81.6874369,Accessible
Great Harvest Bread,110 Matthews Station St # 1D Matthews NC 28105,(980) 262-3090,https://www.greatharvest.com,35.11742554,-80.72069255,Accessible
Emma's Bakery LLC,110 S Brightleaf Blvd Smithfield NC 27577,(919) 205-1056,https://www.johnstoncountync.org,35.50801421,-78.33987976,Accessible
Crumbl Cookies,1105 Market Center Dr Morrisville NC 27560,(919) 364-1100,https://www.crumblcookies.com,35.8076463,-78.8142513,Accessible
Insomnia Cookies,1105 W Main St Durham NC 27701,(919) 364-3321,https://www.insomniacookies.com,36.00134734,-78.91150239,Accessible
Mckee Foods,111 Margaret Little Dr Kings Mountain NC 28086,(423) 238-7111,https://www.mckeefoods.com,35.22138421,-81.41399845,Accessible
Jp's Pastry,111 S Railroad St Benson NC 27504,(919) 894-5000,https://www.jpspastry.com,35.3808082,-78.54796146,Accessible
Loaf Bakery,111 W Parrish St Durham NC 27701,(919) 797-1254,https://www.loafdurham.com,35.99568987,-78.90055026,Accessible
Suarez Bakery & Barra,1115 N Brevard St # 4 Charlotte NC 28206,(980) 273-1788,https://www.suarezbakeryandbarra.com,35.23255913,-80.82880644,Accessible
Peach Cobbler Factory,1116 Eastchester Dr # 102 High Point NC 27265,(336) 803-4062,https://www.peachcobblerfactory.com,35.99146293,-79.99964801,Accessible
Frosted Bliss Cakes,1119 Ivy Ln Cary NC 27511,(919) 210-9698,https://www.frostedblisscakes.com,35.77231188,-78.75626414,Accessible
Cakes By B's Blue House Bakery,113 E Main St Jamestown NC 27282,(336) 307-4653,https://www.cakesbybsbluehousebakery.com,35.99429972,-79.93564278,Accessible
American Dream Cakes,1130 Western Blvd Jacksonville NC 28546,(910) 346-2347,https://www.americandreamcakes.com,34.7823,-77.396379,Accessible
Smallcakes Cupcakery,1132 Parkside Main St Cary NC 27519,(919) 388-2253,https://www.smallcakescupcakery.com,35.84677951,-78.88789338,Accessible
Miranda's Sweet Addictions,1137 Jeffreys Rd Rocky Mount NC 27804,(252) 366-1830,https://www.mirandassweetaddictions.com,35.98142846,-77.80121844,Accessible
Big Boss Baking Co,114 Saint Andrews Dr High Point NC 27265,(336) 862-2677,https://www.archdale-nc.gov,35.97603873,-80.08112723,Accessible
Brecotea,1144 Kildaire Farm Rd Cary NC 27511,(919) 234-1555,https://www.brecotea.com,35.76647769,-78.78293154,Accessible
Once In A Blue Moon Bakery,115 W Chatham St # G Cary NC 27511,(919) 319-6554,https://www.bluemoonbakery.com,35.78722432,-78.78176901,Accessible
Northern Lights Bakery,1159 Austin St # 109A Corolla NC 27927,(252) 453-0201,https://www.mhme.nu,36.3725968,-75.82754147,Accessible
Insomnia Cookies,116 E 5th St Greenville NC 27858,(864) 362-2696,https://www.insomniacookies.com,35.61090058,-77.37187011,Accessible
Crumbl Cookies,116 S Sharon Amity Rd Charlotte NC 28211,(704) 444-0765,https://www.crumblcookies.com,35.17588553,-80.79861674,Accessible
Sweet Creations,117 Dragon Fly Ln State Road NC 28676,(336) 874-2067,https://www.totallyedible.com,36.3451394,-80.87460772,Accessible
Strong Arm Baking,117 Main St Oxford NC 27565,(919) 339-4350,https://www.strongarmbaking.com,36.31163885,-78.58839183,Accessible
Donut Shop Red,117 N Main St Lexington NC 27292,(336) 300-7280,https://www.reddonutshop.com,35.82469112,-80.25243648,Accessible
Cookies N Creme,117 N Pilot Knob Rd Denver NC 28037,(704) 820-2855,https://www.cookiesncremenc.com,35.44342666,-80.99011637,Accessible
Duck Donuts,11703 Eastchester Dr High Point NC 27265,(336) 804-5571,https://www.duckdonuts.com,36.0019465,-79.99181215,Accessible
Tullio's Bakery,1187 Duck Rd Kitty Hawk NC 27949,(252) 261-7112,https://www.tulliosbakery.com,36.16246673,-75.75264238,Accessible
Two Scoops Creamery-Mrsvll,119 Landings Dr # 104 Mooresville NC 28117,(980) 444-3800,https://www.twoscoopscreamerymooresville.com,35.52784075,-80.86832925,Accessible
Duck Donuts,1190 Duck Rd Duck NC 27949,(252) 480-3304,https://www.duckdonuts.com,36.16320644,-75.75282249,Accessible
Sweetheart Baking Co,120 Langtree Village Dr Mooresville NC 28117,(704) 450-4706,https://www.sweetheartbaking.com,35.52835591,-80.86665011,Accessible
Bake House Inc,120 N Poplar St Aberdeen NC 28315,(910) 944-9204,https://www.thebakehouseofaberdeen.com,35.13366831,-79.42723306,Accessible
Cake Me Away Bakery,120 W Trade St Dallas NC 28034,(704) 860-5135,https://www.cakemeawaybakery.com,35.31660864,-81.17615881,Accessible
Burney's Sweets & More,1200 N Davidson St Charlotte NC 28206,(980) 819-9949,https://www.burneyssweetsandmore.com,35.23227879,-80.82475328,Accessible
Southerly Biscuit & Pie,1206 Lake Park Blvd N # D Carolina Beach NC 28428,(910) 707-0776,https://www.thesoutherlync.com,34.04497902,-77.89838753,Accessible
Rise Above Bakehouse,1207 Charlotte Hwy Fairview NC 28730,(828) 222-2600,https://www.riseabovebakehouse.com,35.5247545,-82.42299481,Accessible
Box Turtle Bakery,121 Circadian Way Chapel Hill NC 27516,(919) 357-6034,https://www.boxturtlebakery.com,35.93726487,-79.09754574,Accessible
Daylight Projects LLC,121 W Margaret Ln # D Hillsborough NC 27278,(919) 619-9943,https://www.daylightbooks.org,36.07444857,-79.0996684,Accessible
Donutz On A Stick,1216 Duck Rd Duck NC 27949,(252) 261-0484,https://www.donutzonastick.net,36.16745675,-75.75498654,Accessible
Aj's Cheesecakes,1216 Midland Ter Durham NC 27704,(984) 308-2510,https://www.ajscheesecakes.net,36.01287455,-78.86188683,Accessible
Crumbl Cookies,1218 Bridford Pkwy # A Greensboro NC 27407,(336) 316-6599,https://www.crumblcookies.com,36.05849649,-79.90324733,Accessible
Panaderia Pasteleria Y,1220 N Fayetteville St Asheboro NC 27203,(336) 636-5550,https://www.panaderiapiccadilly.com,35.72648398,-79.80880727,Accessible
Great Harvest Bread,1220 NW Maynard Rd Cary NC 27513,(919) 460-8158,https://www.greatharvest.com,35.78405085,-78.80988746,Accessible
Savor the Moment,124 N Davie St Greensboro NC 27401,(336) 688-5094,https://www.savorthemomentbakery.com,36.07269121,-79.78898914,Accessible
Winde Jackson Cakes,1272 Independence Dr Rocky Mount NC 27804,(252) 446-2253,https://www.windejacksoncakes.com,35.97064488,-77.804472,Accessible
Insomnia Cookies,128 Appalachian St # A Boone NC 28607,(828) 970-1437,https://www.insomniacookies.com,36.2173961,-81.68225003,Accessible
Britt's Donut Shop,13 Boardwalk Carolina Beach NC 28428,(910) 707-0755,https://www.brittsdonutshop.com,34.03409736,-77.8917468,Accessible
Dolce & Amaro Artisan Bakery,1310 Westover Ter # 110 Greensboro NC 27408,(336) 763-4349,https://www.dolceamaroartisanbakery.com,36.0899004,-79.81368082,Accessible
Crumbl Cookies,133 W Franklin St # 150 Chapel Hill NC 27516,(984) 261-2222,https://www.crumblcookies.com,35.91223299,-79.05805884,Accessible
Main Street Cake,1345 S Church St Burlington NC 27215,(336) 261-8725,https://www.mainstreetcake.com,36.08638488,-79.45244091,Accessible
Carolina Pie Co,136 Stutts Rd Mooresville NC 28117,(704) 660-5200,https://www.carolinapie.com,35.56592563,-80.90261713,Accessible
Amorino Raleigh-Excellence,137 E Davie St Raleigh NC 27601,(919) 239-4411,https://www.amorino.com,35.77559743,-78.63774145,Accessible
Queen City Pastry,137 Speedway Ln Mooresville NC 28117,(704) 660-5706,https://www.queencitypastry.com,35.60448229,-80.8505063,Accessible
Amazin Glazin Sweet Treats,1376 Martin Gourd Rd Clarkton NC 28433,(910) 770-9266,https://www.amazinglazinsweettreats.com,34.51446447,-78.60552754,Accessible
Smallcakes Cupcakery,13855 Conlan Cir # G Charlotte NC 28277,(980) 819-7756,https://www.smallcakescupcakery.com,35.05769912,-80.85096192,Accessible
True Blue Butcher & Baker,13865 US Highway 17 Hampstead NC 28443,(910) 319-0695,https://www.wearetrueblue.com,34.35777531,-77.72142849,Accessible
Crumbl Cookies,139 Huffman Mill Rd # No103 Burlington NC 27215,(336) 278-1501,https://www.crumblcookies.com,36.07952774,-79.48401323,Accessible
Anchored-Sweet Treats-Savory,139 Moore Ave Mt Airy NC 27030,(336) 705-3449,https://www.anchoredbakerymtairy.com,36.50113447,-80.60760676,Accessible
Batchmaker,1429 Bryant St Charlotte NC 28208,(704) 000-1111,https://www.thebatchmaker.com,35.22786925,-80.86580145,Accessible
Nothing Bundt Cakes,1437 Military Cutoff Rd Wilmington NC 28403,(910) 679-8797,https://www.nothingbundtcakes.com,34.22533225,-77.82990357,Accessible
Insomnia Cookies,145 E Franklin St Chapel Hill NC 27514,(919) 336-0637,https://www.insomniacookies.com,35.91378252,-79.05429157,Accessible
Crumbl Cookies,145 Grand Hill Pl Holly Springs NC 27540,(919) 355-8909,https://www.crumblcookies.com,35.66426289,-78.84713867,Accessible
Nothing Bundt Cakes,1461 University Dr # A Burlington NC 27215,(336) 915-4030,https://www.nothingbundtcakes.com,36.06727769,-79.51848567,Accessible
Ava's Cupcakes,1483 River Ridge Dr Clemmons NC 27012,(336) 283-9021,https://www.avascupcakes.com,36.07437311,-80.39091345,Accessible
Baker's Box,1508 Asheville Hwy Hendersonville NC 28791,(828) 595-9983,https://www.thebakersbox.net,35.32974095,-82.46850483,Accessible
Great American Cookies,1509 Central Ave Charlotte NC 28205,(980) 875-9228,https://www.greatamericancookies.com,35.22044397,-80.81325979,Accessible
Miss Angels Heavenly Pies,153 N Main St Mt Airy NC 27030,(336) 786-1537,https://www.missangelsheavenlypiesinc.com,36.49998224,-80.6074789,Accessible
Sweet Meg's,1577 New Garden Rd # C Greensboro NC 27410,(336) 299-0642,https://www.sweetmegs.net,36.11260132,-79.8806743,Accessible
Tastykake,1603 Burkemont Ave Morganton NC 28655,(828) 437-0525,https://www.tastykake.com,35.70977053,-81.70347953,Accessible
La Dolcezza Bakery Cafe,1607 Montford Dr Charlotte NC 28209,(980) 938-5143,https://www.ladolcekcabakerycafe.com,35.17068983,-80.84960637,Accessible
Two Scoops Creamery Southend,1616 Camden Rd # 100 Charlotte NC 28203,(980) 237-2149,https://www.twoscoopscreamerysouthendnc.com,35.2145348,-80.85723775,Accessible
Flowers Baking Co of Newton,1633 Fisher Ct Newton NC 28658,(828) 695-6000,https://www.flowersfoods.com,35.64452494,-81.20199016,Accessible
MRS Vingerber's Sweets,164 Longwood Dr Stella NC 28582,(910) 326-3997,https://www.mrsvingerbersweets.com,34.73466062,-77.14206495,Accessible
Southern Supreme Nutty,1699 Hoyt Scott Rd Bear Creek NC 27207,(336) 581-3141,https://www.southernsupreme.com,35.53677978,-79.4637585,Accessible
Karan's Cakes & Cafe Pharr,170 River Hill Rd Statesville NC 28625,(704) 873-8980,https://www.karenscakesandcafe.com,35.81089918,-80.80744784,Accessible
Southern Sweetees,1705 Briar Lake Rd Winston Salem NC 27103,(336) 978-2336,https://www.southernsweetees.com,36.04175226,-80.33580133,Accessible
Duck Donuts,1710 Kenilworth Ave # 220 Charlotte NC 28203,(704) 910-5355,https://www.duckdonuts.com,35.20277114,-80.84404629,Accessible
Duck Donuts,1716 N Croatan Hwy Kill Devil Hills NC 27948,(252) 480-3320,https://www.duckdonuts.com,36.03895524,-75.6760445,Accessible
Great Harvest Bread,1721 E Ash St Goldsboro NC 27530,(919) 288-2401,https://www.greatharvest.com,35.37850176,-77.97034415,Accessible
Wildflour Bakery & Cafe,173 E Main St # 1 Saluda NC 28773,(828) 749-9224,https://www.wildflourbakerync.com,35.23566948,-82.34572203,Accessible
Down For Doughnuts,173 Fontanelle Dr Mooresville NC 28115,(704) 724-6877,https://www.downfordoughnuts.com,35.58180705,-80.7865306,Accessible
Guglhupf Bakery & Patisserie,1800 E Franklin St Chapel Hill NC 27514,(919) 401-2600,https://www.guglhupf.com,35.93742288,-79.02505962,Accessible
Crumbl Cookies,1816 Hendersonville Rd # 10 Asheville NC 28803,(828) 417-0696,https://www.crumblcookies.com,35.50578308,-82.52486304,Accessible
Duck Donuts,182 Merrimon Ave # 20 Asheville NC 28801,(828) 575-2177,https://www.duckdonuts.com,35.60524605,-82.55314045,Accessible
Great Harvest Bread,1824 E Arbors Dr # 390 Charlotte NC 28262,(704) 971-7280,https://www.greatharvest.com,35.33631651,-80.75375212,Accessible
Nothing Bundt Cakes,1838 Hendersonville Rd # A-102 Asheville NC 28803,(828) 417-3548,https://www.nothingbundtcakes.com,35.50322284,-82.52382442,Accessible
Daylight Donuts,1849 E Broad St Statesville NC 28625,(704) 883-1083,https://www.daylightdonuts.com,35.79074094,-80.85675068,Accessible
Bun Appetit!,188 N Trade St Matthews NC 28105,(704) 258-1340,https://www.bunsyall.com,35.11680219,-80.72153123,Accessible
Daylight Donuts,1896 S Main St Waynesville NC 28786,(828) 246-6161,https://www.daylightdonuts.com,35.46810997,-83.00511799,Accessible
La Dolce Vita Bakery Inc,191 Everett St Bryson City NC 28713,(828) 488-5888,https://www.dolcebryson.com,35.42962828,-83.44671501,Accessible
Crumbl Cookies,1915 N Main St # 107 High Point NC 27262,(336) 802-1374,https://www.crumblcookies.com,35.98062445,-80.02185008,Accessible
Spring Garden Bakery-Cffhs,1932 Spring Garden St Greensboro NC 27403,(336) 272-8199,https://www.springgardenbakery.com,36.06386085,-79.82464065,Accessible
Great Harvest Bread,19901 S Main St Cornelius NC 28031,(980) 689-5444,https://www.greatharvest.com,35.47998864,-80.85739643,Accessible
Main Street Bakery & Coffee,19905 W Catawba Ave # 105 Cornelius NC 28031,(704) 897-1717,https://www.bakery28.com,35.48132634,-80.8857652,Accessible
Waterbean Coffee,1995 Startown Rd # 201 Hickory NC 28602,(828) 855-1226,https://www.waterbean.coffee,35.69551709,-81.28989179,Accessible
Sugar Grinders Creamery-Bakery,2 S Main St Franklinton NC 27525,(919) 494-2995,https://www.sugargrinders.net,36.10432516,-78.45631302,Accessible
Caffe At Luminosa,20 Battery Park Ave # 101 Asheville NC 28801,(828) 271-9808,https://www.ashevilleflatiron.com,35.595146,-82.55504631,Accessible
Panaderia Pahuatlan Bakery,2000 Avondale Dr # P Durham NC 27704,(919) 220-7019,https://www.bakerydurham.com,36.01519148,-78.88813646,Accessible
Sunflour Baking Co,2001 E 7th St Charlotte NC 28204,(704) 900-5268,https://www.sunflourbakingcompany.com,35.21222782,-80.81778276,Accessible
Nothing Bundt Cakes,2008 Market Center Dr # 17130 Morrisville NC 27560,(919) 694-5300,https://www.nothingbundtcakes.com,35.80759358,-78.81519035,Accessible
Sweet Shoppe Bakery Inc,2008 N Centennial St High Point NC 27262,(336) 882-8026,https://www.thesweetshoppebakery.com,35.98810884,-80.00031774,Accessible
Open Hearts Place,201 Shady Rest Rd Morganton NC 28655,(828) 430-0417,https://www.openheartsplace.org,35.72821317,-81.6704686,Accessible
Depalo's Bakery,2010 Oaks Pkwy Belmont NC 28012,(704) 827-0245,https://www.depalofoods.com,35.26606102,-81.05483417,Accessible
Nothing Bundt Cakes,2040 Freeman Park Dr # 110 Charlotte NC 28273,(704) 626-1060,https://www.nothingbundtcakes.com,35.21274996,-80.8202388,Accessible
Mindv's Baked Goods,205 Friendly Rd Morehead City NC 28557,(252) 222-0273,https://www.friendlymarketnc.com,34.72870891,-76.76843428,Accessible
Gigi's Cupcakes,205 S Stratford Rd # I Winston Salem NC 27103,(336) 721-1515,https://www.gigiscupcakesusa.com,36.09305817,-80.27984789,Accessible
Virtuoso Breadworks,205 Salem St Waxhaw NC 28173,(704) 256-3753,https://www.virtuosobreadworks.com,34.923867,-80.73994158,Accessible
Sugar Island Bakery,206C N Topsail Dr Surf City NC 28445,(910) 254-1110,https://www.sugarislandnc.com,34.42753048,-77.54330677,Accessible
Donut Inn,208 Porters Neck Rd # 130 Wilmington NC 28411,(910) 821-0170,https://www.thedonutinn.com,34.30026989,-77.78895006,Accessible
Goodwood Pizzeria & Bakery,209 N Aspen St Lincolnton NC 28092,(704) 240-4897,https://www.goodwoodpizza.com,35.47236674,-81.25756534,Accessible
Insomnia Cookies,210 E Trade St # B224 Charlotte NC 28202,(704) 981-6559,https://www.insomniacookies.com,35.22607972,-80.84187745,Accessible
Milk Bar,213 N Main St Walnut Cove NC 27052,(336) 591-9262,https://www.themilkbarnc.com,36.29572976,-80.14177728,Accessible
Smallcakes Cupcakery,2132 Skibo Rd # 114 Fayetteville NC 28314,(910) 835-1074,https://www.smallcakescupcakery.com,35.04909926,-78.97532755,Accessible
Duck Donuts,2132 Skibo Rd Fayetteville NC 28314,(910) 487-0386,https://www.duckdonuts.com,35.04909926,-78.97532755,Accessible
Sweet Cherry Bakery LLC,214 Hunter St Apex NC 27502,(919) 524-9132,https://www.sweetcherrybakerync.com,35.73624692,-78.85141279,Accessible
Tias Tasty Treats,220 Cedar Lodge Rd # D Thomasville NC 27360,(762) 436-1923,https://www.tiastastytreats.com,35.85007667,-80.07894839,Accessible
Sunflour Baking Co,220 East Blvd Charlotte NC 28203,(704) 332-5222,https://www.sunflourbakingcompany.com,35.21150854,-80.85748746,Accessible
Honeybear Bake Shop,2200 Thrift Rd Charlotte NC 28208,(704) 000-1111,https://www.honeybearbakeshop.com,35.23411785,-80.87339437,Accessible
Cinnabon,222 Four Seasons Town Ctr Greensboro NC 27407,(336) 895-4872,https://www.cinnabon.com,36.03885072,-79.84012503,Accessible
Chocolate City Bakery,2221 Charles St Durham NC 27707,(919) 493-8295,https://www.thechocolatecity.com,35.96593701,-78.92245535,Accessible
Cookie People,2237 Avent Ferry Rd # 103 Raleigh NC 27606,(919) 916-5229,https://www.thecookiepeople.net,35.77872025,-78.67712819,Accessible
Short Street Cakes,225 Haywood Rd Asheville NC 28806,(828) 505-4822,https://www.shortstreetcakes.com,35.57961775,-82.57457888,Accessible
Baked Downtown,227 S Elm St Greensboro NC 27401,(336) 370-6439,https://www.bakedgso.com,36.071142,-79.790316,Accessible
Table Bakery On Elm LLC,227 S Elm St Greensboro NC 27401,(336) 542-0395,https://www.thetableasheboro.com,36.071142,-79.790316,Accessible
Great Harvest Bread,229 S Elliott Rd Chapel Hill NC 27514,(919) 904-7292,https://www.greatharvest.com,35.93606642,-79.03234155,Accessible
Short Street Cakes,23 Short St Asheville NC 28801,(828) 236-9462,https://www.shortstreetcakes.com,35.59796602,-82.55969015,Accessible
Insomnia Cookies,2302 Hillsborough St Raleigh NC 27607,(919) 759-6572,https://www.insomniacookies.com,35.78726448,-78.66601732,Accessible
Well-Bred Bakery & Cafe Inc,232 Reems Creek Rd # 3 Weaverville NC 28787,(828) 645-9300,https://www.wellbredbakery.com,35.68641122,-82.55074774,Accessible
Sweet D's Cuisine,2321 S 17th St Wilmington NC 28401,(910) 523-5024,https://www.sweetdscuisine.com,34.20052804,-77.92240833,Accessible
Pauline Tea-Bar Apothecary,2326 Arty Ave Charlotte NC 28208,(704) 999-2537,https://www.thepaulineteabar.com,35.22477395,-80.87811009,Accessible
Nothing Bundt Cakes,2355 US Highway 70 SE Hickory NC 28602,(828) 382-8344,https://www.nothingbundtcakes.com,35.72229562,-81.37960934,Accessible
Wow Factor Cakes,2400 Park Rd # I Charlotte NC 28203,(704) 654-0598,https://www.charlotteweddingcakes.com,35.19844915,-80.85196626,Accessible
Maxie B'S,2403 Battleground Ave # 7 Greensboro NC 27408,(336) 288-9811,https://www.maxieb.com,36.1026259,-79.82403604,Accessible
Duck Donuts,2414 Wycliff Rd # 101 Raleigh NC 27607,(919) 750-8045,https://www.duckdonuts.com,35.81742624,-78.69367705,Accessible
Amlie's French Bakery & Cafe,2424 N Davidson St # 102 Charlotte NC 28205,(704) 376-1781,https://www.ameliesfrenchbakery.com,35.24124816,-80.81290935,Accessible
Superior Bakery,2433 Hope Mills Rd Fayetteville NC 28304,(910) 424-4242,https://www.superiorbakerync.com,35.00956431,-78.96660352,Accessible
Sassy Cakes Bakery LLC,245 Town Centre Dr Locust NC 28097,(704) 000-1111,https://www.sassycakesbakery.com,35.25948264,-80.43291903,Accessible
Augustino Gusto Artisan Bakery,2508 New Garden Rd E Greensboro NC 27455,(336) 740-7005,https://www.augustinogustobakery.com,36.13414844,-79.83180604,Accessible
Vicente Bakery & Bistro,2520 South Blvd # 108-B Charlotte NC 28203,(828) 000-1111,https://www.vicentebistro.com,35.20333682,-80.86463488,Accessible
Well-Bred Bakery & Cafe,26 N Main St Weaverville NC 28787,(828) 645-9300,https://www.wellbredbakery.com,35.69955483,-82.56057265,Accessible
Donut World,2613 W Gate City Blvd Greensboro NC 27403,(336) 292-4101,https://www.mydonutworld.com,36.05383598,-79.83213929,Accessible
Dewey's Bakery,262 S Stratford Rd Winston Salem NC 27103,(336) 725-8321,https://www.deweys.com,36.09186949,-80.28134856,Accessible
Crumbl Cookies,2629 Lawndale Dr Greensboro NC 27408,(336) 298-2728,https://www.crumblcookies.com,36.10271109,-79.81915893,Accessible
Mickey's Pastry Shop,2704 Graves Dr Goldsboro NC 27534,(919) 759-4741,https://www.mickeyspastry.com,35.37270982,-77.949019,Accessible
Guglhupf Bakery Cafe-Brgrtn,2706 Durham Chapel Hill Blvd Durham NC 27707,(919) 401-2600,https://www.guglhupf.com,35.97404252,-78.93208412,Accessible
Fancy Flour Baking,2755 Soco Rd Maggie Valley NC 28751,(828) 356-5403,https://www.fancyflourbakingcompany.com,35.5118516,-83.07486337,Accessible
Sweet Dough,2758 Nc-68 N High Point NC 27265,(336) 781-0991,https://www.sweetdoughbakeshop.com,36.0402038,-79.96201045,Accessible
Duck Donuts,2766 Highway 68 N # 101 High Point NC 27265,(336) 697-6179,https://www.duckdonuts.com,36.04101895,-79.96202744,Accessible
Happycakes Cupcakery,278 Nc Highway 24 Morehead City NC 28557,(252) 773-0160,https://www.thehappycakescupcakery.com,34.73411996,-76.80940299,Accessible
Sinfully Delicious Cstm Bakery,28 W 2nd Ave Lexington NC 27292,(336) 236-2253,https://www.sinfully-delicious.com,35.82351069,-80.25525535,Accessible
Great Harvest Bread,2803 Evans St # 100 Greenville NC 27834,(252) 689-6012,https://www.greatharvest.com,35.58429549,-77.37982705,Accessible
Crumbl Cookies,2815 Rogers Rd # 101 Wake Forest NC 27587,(919) 263-0584,https://www.crumblcookies.com,35.95344915,-78.52652978,Accessible
Salem Baking Co,2820 Reynolda Rd Winston Salem NC 27106,(336) 748-0230,https://www.salembaking.com,36.14365894,-80.29911404,Accessible
Nothing Bundt Cakes,2844 W Highway 74 Monroe NC 28110,(704) 635-6346,https://www.nothingbundtcakes.com,35.02047507,-80.57778768,Accessible
Varee Asian Cafe & Bakery,2861 Raleigh Road Pkwy W Wilson NC 27896,(252) 281-5932,https://www.vareewilson.com,35.73920825,-77.95777315,Accessible
Nothing Bundt Cakes,287 Williamson Rd # H Mooresville NC 28117,(980) 946-6949,https://www.nothingbundtcakes.com,35.58495199,-80.87380685,Accessible
Carolina's Cupcakes,288 US Highway 70 W Havelock NC 28532,(252) 652-6001,https://www.carolinascupcakes.com,34.87618141,-76.9037787,Accessible
All Good Things Bakery,289 S Trade St # A Tryon NC 28782,(828) 440-1018,https://www.allgoodthingsbakery.com,35.20514277,-82.23735854,Accessible
Chance of Sprinkles Bake Shop,29 Logan St # E Marion NC 28752,(828) 559-2161,https://www.chanceofsprinklesbakeshop.com,35.6828005,-82.00987495,Accessible
Edible Art Cake Shop,2908 Selwyn Ave Charlotte NC 28209,(704) 342-2253,https://www.edibleartclt.com,35.17361989,-80.84035915,Accessible
Smallcakes Cupcakery,2916 N Center St Hickory NC 28601,(828) 855-2253,https://www.smallcakescupcakery.com,35.76999372,-81.33012445,Accessible
Great American Cookies,3 S Tunnel Rd # B-3 Asheville NC 28805,(828) 298-2849,https://www.greatamericancookies.com,35.58334469,-82.52591681,Accessible
Canvas Cake Studio,300 Jonestown Rd # 1 Winston Salem NC 27104,(336) 955-2004,https://www.thecanvascakestudio.com,36.07601308,-80.33597924,Accessible
Farm House Cafe & Bakery,301 Raleigh St Newton Grove NC 28366,(910) 000-1111,https://www.farmhousecafebakery.com,35.24586567,-78.35641188,Accessible
